"","ligand","receptor"
"643","Cort","Ghsr"
"644","Cort","Mrgprx2"
"645","Cort","Sstr1"
"646","Cort","Sstr2"
"647","Cort","Sstr3"
"648","Cort","Sstr4"
"649","Cort","Sstr5"
"650","Cpamd8","Sctr"
"651","Cp","Slc40a1"
"652","Crh","Crhr1"
"653","Crh","Crhr2"
"654","Crh","Mc2r"
"655","Crp","Olr1"
"656","Csf1","Csf1r"
"657","Csf2","Csf1r"
"658","Csf2","Csf2ra"
"659","Csf2","Csf2rb"
"660","Csf2","Csf3r"
"661","Csf2","Il3ra"
"662","Csf2","Itga9"
"663","Csf2","Itgb1"
"664","Csf2","Sdc2"
"665","Csf3","Csf1r"
"666","Csf3","Csf3r"
"667","Csh1","Prlr"
"668","Csh2","Prlr"
"669","Cshl1","Ghr"
"670","Cshl1","Prlr"
"671","Ctf1","Il6st"
"672","Ctf1","Lifr"
"673","Ctgf","Erbb4"
"674","Ctgf","Itga5"
"675","Ctgf","Itgam"
"676","Ctgf","Itgb2"
"677","Ctgf","Lrp1"
"678","Ctgf","Lrp6"
"679","Ctgf","Ntrk1"
"680","Cthrc1","Fzd3"
"681","Cthrc1","Fzd5"
"682","Cthrc1","Fzd6"
"683","Cubn","Lrp2"
"684","Cx3cl1","Cx3cr1"
"685","Cxcl10","Ccr3"
"686","Cxcl10","Cxcr3"
"687","Cxcl10","Sdc4"
"688","Cxcl11","Ackr3"
"689","Cxcl11","Ccr3"
"690","Cxcl11","Cxcr3"
"691","Cxcl12","Ackr3"
"692","Cxcl12","Ccr4"
"693","Cxcl12","Cd4"
"694","Cxcl12","Cxcr3"
"695","Cxcl12","Cxcr4"
"696","Cxcl12","Itgb1"
"697","Cxcl12","Sdc4"
"698","Cxcl13","Ackr4"
"699","Cxcl13","Ccr10"
"700","Cxcl13","Cxcr3"
"701","Cxcl13","Cxcr5"
"702","Cxcl13","Htr2a"
"703","Cxcl13","Oprd1"
"704","Cxcl16","Cxcr6"
"705","Cxcl1","Cxcr1"
"706","Cxcl1","Cxcr1"
"707","Cxcl1","Darc"
"708","Cxcl2","Cxcr1"
"709","Cxcl2","Cxcr1"
"710","Cxcl2","Xcr1"
"711","Cxcl3","Cxcr1"
"712","Cxcl3","Cxcr1"
"713","Cxcl5","Cxcr1"
"714","Cxcl5","Cxcr1"
"715","Cxcl5","Darc"
"716","Cxcl6","Cxcr1"
"717","Cxcl6","Cxcr1"
"718","Cxcl9","Ccr3"
"719","Cxcl9","Cxcr3"
"720","Cyr61","Cav1"
"721","Cyr61","Itga5"
"722","Cyr61","Itgam"
"723","Cyr61","Itgav"
"724","Cyr61","Itgb2"
"725","Cyr61","Itgb3"
"726","Cyr61","Itgb5"
"727","Dcn","Egfr"
"728","Dcn","Erbb4"
"729","Dcn","Met"
"730","Defb103a","Ccr6"
"731","Defb103b","Ccr2"
"732","Defb103b","Ccr6"
"733","Defb1","Ccr6"
"734","Defb4a","Ccr6"
"735","Defb4a","Tlr4"
"736","Defb4b","Ccr6"
"737","Dhh","Boc"
"738","Dhh","Cdon"
"739","Dhh","Hhip"
"740","Dhh","Ptch1"
"741","Dhh","Ptch2"
"742","Dkk1","Kremen1"
"743","Dkk1","Kremen2"
"744","Dkk1","Lrp5"
"745","Dkk1","Lrp6"
"746","Dkk2","Kremen2"
"747","Dkk2","Lrp6"
"748","Dlk1","Notch1"
"749","Dlk1","Notch2"
"750","Dlk1","Notch3"
"751","Dlk1","Notch4"
"752","Dlk2","Notch1"
"753","Dll1","Notch1"
"754","Dll1","Notch2"
"755","Dll1","Notch3"
"756","Dll1","Notch4"
"757","Dll3","Notch1"
"758","Dll3","Notch2"
"759","Dll3","Notch3"
"760","Dll3","Notch4"
"761","Dll4","Notch1"
"762","Dll4","Notch2"
"763","Dll4","Notch3"
"764","Dll4","Notch4"
"765","Dscam","Dcc"
"766","Dusp18","Cd151"
"767","Dusp18","Itga1"
"768","Dusp18","Itga2"
"769","Dusp18","Itga3"
"770","Dusp18","Itga6"
"771","Dusp18","Itga7"
"772","Dusp18","Itgb1"
"773","Dusp18","Itgb4"
"774","Dusp18","Rpsa"
"775","Ebi3","Il27ra"
"776","Ebi3","Il6st"
"777","Ecm1","Cachd1"
"778","Eda","Eda2r"
"779","Eda","Edar"
"780","Edil3","Itgav"
"781","Edil3","Itgb5"
"782","Edn1","Ednra"
"783","Edn1","Ednrb"
"784","Edn1","Eltd1"
"785","Edn1","Kel"
"786","Edn2","Ednra"
"787","Edn2","Ednrb"
"788","Edn2","Kel"
"789","Edn3","Ednra"
"790","Edn3","Ednrb"
"791","Edn3","Kel"
"792","Efemp1","Egfr"
"793","Efemp2","Aqp1"
"794","Efemp2","Catsper1"
"795","Efemp2","Lingo1"
"796","Efemp2","Plscr4"
"797","Efna1","Epha1"
"798","Efna1","Epha2"
"799","Efna1","Epha3"
"800","Efna1","Epha4"
"801","Efna1","Epha5"
"802","Efna1","Epha6"
"803","Efna1","Epha7"
"804","Efna1","Epha8"
"805","Efna1","Ephb2"
"806","Efna1","Ephb6"
"807","Efna2","Epha1"
"808","Efna2","Epha2"
"809","Efna2","Epha3"
"810","Efna2","Epha4"
"811","Efna2","Epha5"
"812","Efna2","Epha6"
"813","Efna2","Epha7"
"814","Efna2","Epha8"
"815","Efna3","Epha1"
"816","Efna3","Epha2"
"817","Efna3","Epha3"
"818","Efna3","Epha4"
"819","Efna3","Epha5"
"820","Efna3","Epha6"
"821","Efna3","Epha7"
"822","Efna3","Epha8"
"823","Efna3","Ephb2"
"824","Efna3","Ephb6"
"825","Efna4","Epha1"
"826","Efna4","Epha2"
"827","Efna4","Epha3"
"828","Efna4","Epha4"
"829","Efna4","Epha5"
"830","Efna4","Epha6"
"831","Efna4","Epha7"
"832","Efna4","Epha8"
"833","Efna5","Epha1"
"834","Efna5","Epha2"
"835","Efna5","Epha3"
"836","Efna5","Epha4"
"837","Efna5","Epha5"
"838","Efna5","Epha6"
"839","Efna5","Epha7"
"840","Efna5","Epha8"
"841","Efna5","Ephb2"
"842","Efna5","Ephb2"
"843","Efna5","Ephb6"
"844","Efnb1","Epha4"
"845","Efnb1","Epha6"
"846","Efnb1","Ephb2"
"847","Efnb1","Ephb2"
"848","Efnb1","Ephb3"
"849","Efnb1","Ephb4"
"850","Efnb1","Ephb6"
"851","Efnb1","Erbb2"
"852","Efnb2","Epha3"
"853","Efnb2","Epha4"
"854","Efnb2","Epha6"
"855","Efnb2","Ephb2"
"856","Efnb2","Ephb2"
"857","Efnb2","Ephb3"
"858","Efnb2","Ephb4"
"859","Efnb2","Ephb6"
"860","Efnb2","Grm1"
"861","Efnb2","Grm5"
"862","Efnb2","Pecam1"
"863","Efnb2","Rhbdl2"
"864","Efnb3","Epha4"
"865","Efnb3","Ephb2"
"866","Efnb3","Ephb2"
"867","Efnb3","Ephb3"
"868","Efnb3","Ephb4"
"869","Efnb3","Ephb6"
"870","Efnb3","Rhbdl2"
"871","Egfl8","Ncr3"
"872","Egf","Cav1"
"873","Egf","Egfr"
"874","Egf","Erbb2"
"875","Egf","Erbb3"
"876","Egf","Erbb4"
"877","Egf","Fshr"
"878","Epgn","Egfr"
"879","Epo","Epor"
"880","Ereg","Egfr"
"881","Ereg","Erbb2"
"882","Ereg","Erbb3"
"883","Ereg","Erbb4"
"884","F10","F3"
"885","F10","Itgam"
"886","F10","Itgb2"
"887","F11","Gp1ba"
"888","F12","Cd93"
"889","F12","Gp1ba"
"890","F13a1","Itga4"
"891","F13a1","Itga9"
"892","F13a1","Itgb1"
"893","F2","F2r"
"894","F2","F2rl1"
"895","F2","F2rl2"
"896","F2","F2rl3"
"897","F2","Gp1ba"
"898","F2","Gp1bb"
"899","F2","Gp9"
"900","F2","Itga2b"
"901","F2","Thbd"
"902","F7","F3"
"903","F8","Asgr2"
"904","F8","Ldlr"
"905","F8","Lrp1"
"906","F9","Lrp1"
"907","Farp2","Plxna1"
"908","Farp2","Plxna2"
"909","Farp2","Plxna3"
"910","Farp2","Plxna4"
"911","Fasl","Fas"
"912","Fasl","Tnfrsf1a"
"913","Fasl","Tnfrsf6b"
"914","Fat4","Dchs1"
"915","Fbln1","Itgb1"
"916","Fbln2","Itgb3"
"917","Fbn1","Itga5"
"918","Fbn1","Itgav"
"919","Fbn1","Itgb1"
"920","Fbn1","Itgb3"
